"","Year","Medal","Time","Record","Event","Name","Athlete.Country","Host.City","Host.Country"
"884",1952,"Silver",NA,NA,"10,000 metres","Alain Mimoun","France","Helsinki","Finland"
"885",1952,"Silver",13.7,NA,"110 metres hurdles","Jack Davis","United States","Helsinki","Finland"
"886",1952,"Silver",51.3,NA,"400 metres hurdles","Yuriy Lituyev","Soviet Union","Helsinki","Finland"
"887",1952,"Silver",NA,NA,"3000 metres steeplechase","Vladimir Kazantsev","Soviet Union","Helsinki","Finland"
"888",1952,"Silver",40.3,NA,"4 × 100 metres relay","Soviet Union","(URS)Boris TokarevLevan KalyayevLevan SanadzeVladimir Sukharev","Helsinki","Finland"
"889",1952,"Silver",NA,NA,"4 × 400 metres relay","United States","(USA)Ollie MatsonGene ColeCharles MooreMal Whitfield","Helsinki","Finland"
"890",1952,"Silver",NA,NA,"Marathon","Reinaldo Gorno","Argentina","Helsinki","Finland"
"891",1952,"Silver",NA,NA,"10 kilometres walk","Fritz Schwab","Switzerland","Helsinki","Finland"
"892",1952,"Silver",NA,NA,"50 kilometres walk","Josef Doležal","Czechoslovakia","Helsinki","Finland"
"893",1952,"Silver",NA,NA,"High jump","Ken Wiesner","United States","Helsinki","Finland"
"894",1952,"Silver",NA,NA,"Pole vault","Don Laz","United States","Helsinki","Finland"
"895",1952,"Silver",NA,NA,"Long jump","Meredith Gourdine","United States","Helsinki","Finland"
"896",1952,"Silver",15.98,NA,"Triple jump","Leonid Shcherbakov","Soviet Union","Helsinki","Finland"
"897",1952,"Silver",NA,NA,"Shot put","Darrow Hooper","United States","Helsinki","Finland"
"898",1952,"Silver",NA,NA,"Discus throw","Adolfo Consolini","Italy","Helsinki","Finland"
"899",1952,"Silver",58.86,NA,"Hammer throw","Karl Storch","Germany","Helsinki","Finland"
"900",1952,"Silver",NA,NA,"Javelin throw","Bill Miller","United States","Helsinki","Finland"
"901",1952,"Silver",NA,NA,"Decathlon","Milt Campbell","United States","Helsinki","Finland"
"902",1948,"Silver",10.4,NA,"100 metres","Barney Ewell","United States","London","Great Britain"
"903",1948,"Silver",21.1,NA,"200 metres","Barney Ewell","United States","London","Great Britain"
"904",1948,"Silver",46.4,NA,"400 metres","Herb McKenley","Jamaica","London","Great Britain"
"905",1948,"Silver",NA,NA,"800 metres","Arthur Wint","Jamaica","London","Great Britain"
"906",1948,"Silver",NA,NA,"1500 metres","Lennart Strand","Sweden","London","Great Britain"
"907",1948,"Silver",NA,NA,"5000 metres","Emil Zátopek","Czechoslovakia","London","Great Britain"
"908",1948,"Silver",NA,NA,"10,000 metres","Alain Mimoun","France","London","Great Britain"
"909",1948,"Silver",14.1,NA,"110 metres hurdles","Clyde Scott","United States","London","Great Britain"
"910",1948,"Silver",51.8,NA,"400 metres hurdles","Duncan White","Ceylon","London","Great Britain"
"911",1948,"Silver",NA,NA,"3000 metres steeplechase","Erik Elmsäter","Sweden","London","Great Britain"
"912",1948,"Silver",41.3,NA,"4 × 100 metres relay","Great Britain","(GBR)Alastair McCorquodaleJohn GregoryKen JonesJack Archer","London","Great Britain"
"913",1948,"Silver",NA,NA,"4 × 400 metres relay","France (FRA)Jean","KerebelFrancis SchewettaRobert Chef D'HotelJacques Lunis","London","Great Britain"
"914",1948,"Silver",NA,NA,"Marathon","Tom Richards","Great Britain","London","Great Britain"
"915",1948,"Silver",NA,NA,"10 kilometres walk","Ingemar Johansson","Sweden","London","Great Britain"
"916",1948,"Silver",NA,NA,"50 kilometres walk","Gaston Godel","Switzerland","London","Great Britain"
"917",1948,"Silver",1.95,NA,"High jump","Bjørn Paulson","Norway","London","Great Britain"
"918",1948,"Silver",4.2,NA,"Pole vault","Erkki Kataja","Finland","London","Great Britain"
"919",1948,"Silver",7.55,NA,"Long jump","Theo Bruce","Australia","London","Great Britain"
"920",1948,"Silver",15.36,NA,"Triple jump","George Avery","Australia","London","Great Britain"
"921",1948,"Silver",16.68,NA,"Shot put","Jim Delaney","United States","London","Great Britain"
"922",1948,"Silver",51.78,NA,"Discus throw","Giuseppe Tosi","Italy","London","Great Britain"
"923",1948,"Silver",54.27,NA,"Hammer throw","Ivan Gubijan","Yugoslavia","London","Great Britain"
"924",1948,"Silver",67.56,NA,"Javelin throw","Steve Seymour","United States","London","Great Britain"
"925",1948,"Silver",6974,NA,"Decathlon","Ignace Heinrich","France","London","Great Britain"
"926",1936,"Silver",10.4,NA,"100 metres","Ralph Metcalfe","United States","Berlin","Germany"
"927",1936,"Silver",21.1,NA,"200 metres","Mack Robinson","United States","Berlin","Germany"
"928",1936,"Silver",46.7,NA,"400 metres","Godfrey Brown","Great Britain","Berlin","Germany"
"929",1936,"Silver",NA,NA,"800 metres","Mario Lanzi","Italy","Berlin","Germany"
"930",1936,"Silver",NA,NA,"1500 metres","Glenn Cunningham","United States","Berlin","Germany"
"931",1936,"Silver",NA,NA,"5000 metres","Lauri Lehtinen","Finland","Berlin","Germany"
"932",1936,"Silver",NA,NA,"10,000 metres","Arvo Askola","Finland","Berlin","Germany"
"933",1936,"Silver",14.4,NA,"110 metres hurdles","Don Finlay","Great Britain","Berlin","Germany"
"934",1936,"Silver",52.7,NA,"400 metres hurdles","John Loaring","Canada","Berlin","Germany"
"935",1936,"Silver",NA,NA,"3000 metres steeplechase","Kaarlo Tuominen","Finland","Berlin","Germany"
"936",1936,"Silver",41.1,NA,"4 × 100 meters relay","Italy (ITA)Orazio","MarianiGianni CaldanaElio RagniTullio Gonnelli","Berlin","Germany"
"937",1936,"Silver",NA,NA,"4 × 400 meters relay","United States","(USA)Harold CagleRobert YoungEdward O’BrienAlfred Fitch","Berlin","Germany"
"938",1936,"Silver",NA,NA,"Marathon","Ernest Harper","Great Britain","Berlin","Germany"
"939",1936,"Silver",NA,NA,"50 kilometres walk","Arthur Tell","Schwab Switzerland","Berlin","Germany"
"940",1936,"Silver",2,NA,"High jump","Dave Albritton","United States","Berlin","Germany"
"941",1936,"Silver",4.25,NA,"Pole vault","Shuhei Nishida","Japan","Berlin","Germany"
"942",1936,"Silver",7.87,NA,"Long jump","Luz Long","Germany","Berlin","Germany"
"943",1936,"Silver",15.66,NA,"Triple jump","Masao Harada","Japan","Berlin","Germany"
"944",1936,"Silver",16.12,NA,"Shot put","Sulo Bärlund","Finland","Berlin","Germany"
"945",1936,"Silver",49.36,NA,"Discus throw","Gordon Dunn","United States","Berlin","Germany"
"946",1936,"Silver",55.04,NA,"Hammer throw","Erwin Blask","Germany","Berlin","Germany"
"947",1936,"Silver",70.77,NA,"Javelin throw","Yrjo Nikkanen","Finland","Berlin","Germany"
"948",1936,"Silver",7601,NA,"Decathlon","Bob Clark","United States","Berlin","Germany"
"949",2016,"Bronze",9.91,NA,"100 metres","Andre De","Grasse Canada","Rio de Janeiro","Brazil"
"950",2016,"Bronze",20.12,NA,"200 metres","Christophe Lemaitre","France","Rio de Janeiro","Brazil"
"951",2016,"Bronze",43.85,NA,"400 metres","LaShawn Merritt","United States","Rio de Janeiro","Brazil"
"952",2016,"Bronze",NA,NA,"800 metres","Clayton Murphy","United States","Rio de Janeiro","Brazil"
"953",2016,"Bronze",NA,NA,"1500 metres","Nick Willis","New Zealand","Rio de Janeiro","Brazil"
"954",2016,"Bronze",NA,NA,"5000 metres","Hagos Gebrhiwet","Ethiopia","Rio de Janeiro","Brazil"
"955",2016,"Bronze",NA,NA,"10,000 metres","Tamirat Tola","Ethiopia","Rio de Janeiro","Brazil"
"956",2016,"Bronze",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"957",2016,"Bronze",13.24,NA,"110 metres hurdles","Dimitri Bascou","France","Rio de Janeiro","Brazil"
"958",2016,"Bronze",47.92,NA,"400 metres hurdles","Yasmani Copello","Turkey","Rio de Janeiro","Brazil"
"959",2016,"Bronze",NA,NA,"3000 metres steeplechase","Mahiedine Mekhissi-Benabbad","France","Rio de Janeiro","Brazil"
"960",2016,"Bronze",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"961",2016,"Bronze",37.64,NA,"4 × 100 metres relay","Canada (CAN)Akeem","HaynesAaron BrownBrendon RodneyAndre De GrasseBolade Ajomale*","Rio de Janeiro","Brazil"
"962",2016,"Bronze",NA,NA,"4 × 400 metres relay","Bahamas (BAH)Alonzo","RussellMichael MathieuSteven GardinerChris BrownStephen Newbold*","Rio de Janeiro","Brazil"
"963",2016,"Bronze",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"964",2016,"Bronze",NA,NA,"Marathon","Galen Rupp","United States","Rio de Janeiro","Brazil"
"965",2016,"Bronze",NA,NA,"20 kilometres walk","Dane Bird-Smith","Australia","Rio de Janeiro","Brazil"
"966",2016,"Bronze",NA,NA,"50 kilometres walk","Hirooki Arai","Japan","Rio de Janeiro","Brazil"
"967",2016,"Bronze",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"968",2016,"Bronze",2.33,NA,"High jump","Bohdan Bondarenko","Ukraine","Rio de Janeiro","Brazil"
"969",2016,"Bronze",5.85,NA,"Pole vault","Sam Kendricks","United States","Rio de Janeiro","Brazil"
"970",2016,"Bronze",8.29,NA,"Long jump","Greg Rutherford","Great Britain","Rio de Janeiro","Brazil"
"971",2016,"Bronze",17.58,NA,"Triple jump","Dong Bin","China","Rio de Janeiro","Brazil"
"972",2016,"Bronze",21.36,NA,"Shot put","Tomas Walsh","New Zealand","Rio de Janeiro","Brazil"
"973",2016,"Bronze",67.05,NA,"Discus throw","Daniel Jasinski","Germany","Rio de Janeiro","Brazil"
"974",2016,"Bronze",77.73,NA,"Hammer throw","Wojciech Nowicki","Poland","Rio de Janeiro","Brazil"
"975",2016,"Bronze",85.38,NA,"Javelin throw","Keshorn Walcott","Trinidad and Tobago","Rio de Janeiro","Brazil"
"976",2016,"Bronze",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"977",2016,"Bronze",8666,NA,"Decathlon","Damian Warner","Canada","Rio de Janeiro","Brazil"
"978",2012,"Bronze",9.79,NA,"100 metres","Justin Gatlin","United States","London","Great Britain"
"979",2012,"Bronze",19.84,NA,"200 metres","Warren Weir","Jamaica","London","Great Britain"
"980",2012,"Bronze",44.52,NA,"400 metres","Lalonde Gordon","Trinidad and Tobago","London","Great Britain"
"981",2012,"Bronze",NA,NA,"800 metres","Timothy Kitum","Kenya","London","Great Britain"
"982",2012,"Bronze",NA,NA,"1500 metres","Abdalaati Iguider","Morocco","London","Great Britain"
"983",2012,"Bronze",NA,NA,"5000 metres","Thomas Longosiwa","Kenya","London","Great Britain"
"984",2012,"Bronze",NA,NA,"10,000 metres","Tariku Bekele","Ethiopia","London","Great Britain"
"985",2012,"Bronze",NA,NA,""," NA",NA,"London","Great Britain"
"986",2012,"Bronze",13.12,NA,"110 metres hurdles","Hansle Parchment","Jamaica","London","Great Britain"
"987",2012,"Bronze",48.1,NA,"400 metres hurdles","Javier Culson","Puerto Rico","London","Great Britain"
"988",2012,"Bronze",NA,NA,"3000 metres steeplechase","Abel Mutai","Kenya","London","Great Britain"
"989",2012,"Bronze",NA,NA,""," NA",NA,"London","Great Britain"
"990",2012,"Bronze",38.16,NA,"4×100 metres relay [a]","France (FRA)Jimmy","VicautChristophe Lemaitre Pierre-Alexis PessonneauxRonald Pognon","London","Great Britain"
"991",2012,"Bronze",NA,NA,"4×400 metres relay","Trinidad and","Tobago (TRI)Lalonde GordonJarrin SolomonAde Alleyne-ForteDeon Lendore","London","Great Britain"
"992",2012,"Bronze",NA,NA,""," NA",NA,"London","Great Britain"
"993",2012,"Bronze",NA,NA,"Marathon","Wilson Kipsang","Kiprotich Kenya","London","Great Britain"
"994",2012,"Bronze",NA,NA,"20 kilometres walk","Wang Zhen","China","London","Great Britain"
"995",2012,"Bronze",NA,NA,"50 kilometres walk [b]","Robert Heffernan","Ireland","London","Great Britain"
"996",2012,"Bronze",NA,NA,""," NA",NA,"London","Great Britain"
"997",2012,"Bronze",NA,"tie for silver)","High jump [c]","not awarded","(tie for silver)","London","Great Britain"
"998",2012,"Bronze",5.91,NA,"Pole vault","Raphael Holzdeppe","Germany","London","Great Britain"
"999",2012,"Bronze",8.12,NA,"Long jump","Will Claye","United States","London","Great Britain"
"1000",2012,"Bronze",17.48,NA,"Triple jump","Fabrizio Donato","Italy","London","Great Britain"
"1001",2012,"Bronze",21.23,NA,"Shot put","Reese Hoffa","United States","London","Great Britain"
"1002",2012,"Bronze",68.03,NA,"Discus throw","Gerd Kanter","Estonia","London","Great Britain"
"1003",2012,"Bronze",78.71,NA,"Hammer throw","Koji Murofushi","Japan","London","Great Britain"
"1004",2012,"Bronze",83.34,NA,"Javelin throw [d]","Vítězslav Veselý","Czech Republic","London","Great Britain"
"1005",2012,"Bronze",NA,NA,""," NA",NA,"London","Great Britain"
"1006",2012,"Bronze",8523,NA,"Decathlon","Leonel Suárez","Cuba","London","Great Britain"
"1007",2008,"Bronze",9.91,NA,"100 metres","Walter Dix","United States","Beijing","China"
"1008",2008,"Bronze",19.98,NA,"200 metres","Walter Dix","United States","Beijing","China"
"1009",2008,"Bronze",44.8,NA,"400 metres","David Neville","United States","Beijing","China"
"1010",2008,"Bronze",NA,NA,"800 metres","Alfred Kirwa","Yego Kenya","Beijing","China"
"1011",2008,"Bronze",NA,NA,"1500 metres [a]","Mehdi Baala","France","Beijing","China"
"1012",2008,"Bronze",NA,NA,"5000 metres","Edwin Cheruiyot","Soi Kenya","Beijing","China"
"1013",2008,"Bronze",NA,NA,"10,000 metres","Micah Kogo","Kenya","Beijing","China"
"1014",2008,"Bronze",13.18,NA,"110 metres hurdles","David Oliver","United States","Beijing","China"
"1015",2008,"Bronze",48.06,NA,"400 metres hurdles","Bershawn Jackson","United States","Beijing","China"
"1016",2008,"Bronze",NA,NA,"3000 metres steeplechase","Richard Kipkemboi","Mateelong Kenya","Beijing","China"
"1017",2008,"Bronze",38.24,NA,"4×100 metres relay [b]","BrazilVicente LimaSandro","VianaBruno de BarrosJosé Carlos Moreira","Beijing","China"
"1018",2008,"Bronze",NA,NA,"4×400 metres relay [c]","Great BritainMartyn","RooneyAndrew SteeleRobert TobinMichael Bingham","Beijing","China"
"1019",2008,"Bronze",NA,NA,"Marathon","Tsegay Kebede","Ethiopia","Beijing","China"
"1020",2008,"Bronze",NA,NA,"20 kilometres walk","Jared Tallent","Australia","Beijing","China"
"1021",2008,"Bronze",NA,NA,"50 kilometres walk","Denis Nizhegorodov","Russia","Beijing","China"
"1022",2008,"Bronze",NA,NA,"High jump","Yaroslav Rybakov","Russia","Beijing","China"
"1023",2008,"Bronze",NA,NA,"Pole vault [d]","Derek Miles","United States","Beijing","China"
"1024",2008,"Bronze",NA,NA,"Long jump","Ibrahim Camejo","Cuba","Beijing","China"
"1025",2008,"Bronze",NA,NA,"Triple jump","Leevan Sands","Bahamas","Beijing","China"
"1026",2008,"Bronze",NA,NA,"Shot put [e]","Dylan Armstrong","Canada","Beijing","China"
"1027",2008,"Bronze",NA,NA,"Discus throw","Virgilijus Alekna","Lithuania","Beijing","China"
"1028",2008,"Bronze",NA,NA,"Hammer throw [f]","Ivan Tsikhan","Belarus","Beijing","China"
"1029",2008,"Bronze",NA,NA,"Javelin throw","Tero Pitkämäki","Finland","Beijing","China"
"1030",2008,"Bronze",8527,NA,"Decathlon","Leonel Suárez","Cuba","Beijing","China"
"1031",2004,"Bronze",9.87,NA,"100 metres","Maurice Greene","United States","Athens","Greece"
"1032",2004,"Bronze",20.03,NA,"200 metres","Justin Gatlin","United States","Athens","Greece"
"1033",2004,"Bronze",44.42,NA,"400 metres ","Derrick Brew","United States","Athens","Greece"
"1034",2004,"Bronze",NA,NA,"800 metres ","Wilson Kipketer","Denmark","Athens","Greece"
"1035",2004,"Bronze",NA,NA,"1500 metres ","Rui Silva","Portugal","Athens","Greece"
"1036",2004,"Bronze",NA,NA,"5000 metres ","Eliud Kipchoge","Kenya","Athens","Greece"
"1037",2004,"Bronze",NA,NA,"10,000 metres ","Zersenay Tadese","Eritrea","Athens","Greece"
"1038",2004,"Bronze",NA,NA,""," NA",NA,"Athens","Greece"
"1039",2004,"Bronze",13.2,NA,"110 metres hurdles ","Anier García","Cuba","Athens","Greece"
"1040",2004,"Bronze",48.26,NA,"400 metres hurdles ","Naman Keïta","France","Athens","Greece"
"1041",2004,"Bronze",NA,NA,"3000 metres steeplechase ","Paul Kipsiele","Koech Kenya","Athens","Greece"
"1042",2004,"Bronze",NA,NA,""," NA",NA,"Athens","Greece"
"1043",2004,"Bronze",38.23,NA,"4×100 metres relay ","NigeriaOlusoji FasubaUchenna","EmedoluAaron EgbeleDeji Aliu","Athens","Greece"
"1044",2004,"Bronze",NA,NA,"4×400 metres relay ","NigeriaJames GoddayMusa","AuduSaul WeigopwaEnefiok Udo-Obong","Athens","Greece"
"1045",2004,"Bronze",NA,NA,""," NA",NA,"Athens","Greece"
"1046",2004,"Bronze",NA,NA,"Marathon ","Vanderlei de","Lima Brazil","Athens","Greece"
"1047",2004,"Bronze",NA,NA,"20 kilometres walk ","Nathan Deakes","Australia","Athens","Greece"
"1048",2004,"Bronze",NA,NA,"50 kilometres walk ","Aleksey Voyevodin","Russia","Athens","Greece"
"1049",2004,"Bronze",NA,NA,""," NA",NA,"Athens","Greece"
"1050",2004,"Bronze",NA,NA,"High jump ","Jaroslav Bába","Czech Republic","Athens","Greece"
"1051",2004,"Bronze",NA,NA,"Pole vault ","Giuseppe Gibilisco","Italy","Athens","Greece"
"1052",2004,"Bronze",NA,NA,"Long jump ","Joan Lino","Martínez Spain","Athens","Greece"
"1053",2004,"Bronze",NA,NA,"Triple jump ","Danil Burkenya","Russia","Athens","Greece"
"1054",2004,"Bronze",NA,NA,"Shot put  [a]","Manuel Martínez","Spain","Athens","Greece"
"1055",2004,"Bronze",NA,NA,"Discus throw ","Aleksander Tammert","Estonia","Athens","Greece"
"1056",2004,"Bronze",NA,NA,"Hammer throw  [b]","Eşref Apak","Turkey","Athens","Greece"
"1057",2004,"Bronze",NA,NA,"Javelin throw ","Sergey Makarov","Russia","Athens","Greece"
"1058",2004,"Bronze",NA,NA,""," NA",NA,"Athens","Greece"
"1059",2004,"Bronze",8725,NA,"Decathlon ","Dmitriy Karpov","Kazakhstan","Athens","Greece"
"1060",2000,"Bronze",10.04,NA,"100 metres","Obadele Thompson","Barbados","Sydney","Australia"
"1061",2000,"Bronze",20.2,NA,"200 metres","Ato Boldon","Trinidad and Tobago","Sydney","Australia"
"1062",2000,"Bronze",44.7,NA,"400 metres","Greg Haughton","Jamaica","Sydney","Australia"
"1063",2000,"Bronze",NA,NA,"800 metres","Djabir Saïd-Guerni","Algeria","Sydney","Australia"
"1064",2000,"Bronze",NA,NA,"1500 metres","Bernard Lagat","Kenya","Sydney","Australia"
"1065",2000,"Bronze",NA,NA,"5000 metres","Brahim Lahlafi","Morocco","Sydney","Australia"
"1066",2000,"Bronze",NA,NA,"10,000 metres","Assefa Mezgebu","Ethiopia","Sydney","Australia"
"1067",2000,"Bronze",13.22,NA,"110 metres hurdles","Mark Crear","United States","Sydney","Australia"
"1068",2000,"Bronze",47.81,NA,"400 metres hurdles","Llewellyn Herbert","South Africa","Sydney","Australia"
"1069",2000,"Bronze",NA,NA,"3000 metressteeplechase","Ali Ezzine","Morocco","Sydney","Australia"
"1070",2000,"Bronze",38.04,NA,"4×100 metres relay","Cuba (CUB)Luis","Alberto Pérez-RiondaIvan GarciaFreddy MayolaJosé Ángel César","Sydney","Australia"
"1071",2000,"Bronze",NA,NA,"4×400 metres relay","Bahamas (BAH)Avard","MoncurTroy McIntoshCarl OliverChris BrownTimothy Munnings*","Sydney","Australia"
"1072",2000,"Bronze",NA,NA,"Marathon","Tesfaye Tola","Ethiopia","Sydney","Australia"
"1073",2000,"Bronze",NA,NA,"20 kilometres walk","Vladimir Andreyev","Russia","Sydney","Australia"
"1074",2000,"Bronze",NA,NA,"50 kilometres walk","Joel Sánchez","Guerrero Mexico","Sydney","Australia"
"1075",2000,"Bronze",NA,NA,"High jump","Abderrahmane Hammad","Algeria","Sydney","Australia"
"1076",2000,"Bronze",NA,NA,"Pole vault","Maksim Tarasov","Russia","Sydney","Australia"
"1077",2000,"Bronze",NA,NA,"Long jump","Roman Shchurenko","Ukraine","Sydney","Australia"
"1078",2000,"Bronze",NA,NA,"Triple jump","Denis Kapustin","Russia","Sydney","Australia"
"1079",2000,"Bronze",NA,NA,"Shot put","John Godina","United States","Sydney","Australia"
"1080",2000,"Bronze",NA,NA,"Discus throw","Frantz Kruger","South Africa","Sydney","Australia"
"1081",2000,"Bronze",NA,NA,"Hammer throw","Igor Astapkovich","Belarus","Sydney","Australia"
"1082",2000,"Bronze",NA,NA,"Javelin throw","Sergey Makarov","Russia","Sydney","Australia"
"1083",2000,"Bronze",8595,NA,"Decathlon","Chris Huffins","United States","Sydney","Australia"
"1084",1996,"Bronze",9.9,NA,"100 metres","Ato Boldon","Trinidad and Tobago","Atlanta","USA"
"1085",1996,"Bronze",19.8,NA,"200 metres","Ato Boldon","Trinidad and Tobago","Atlanta","USA"
"1086",1996,"Bronze",44.53,NA,"400 metres","Davis Kamoga","Uganda","Atlanta","USA"
"1087",1996,"Bronze",NA,NA,"800 metres","Fred Onyancha","Kenya","Atlanta","USA"
"1088",1996,"Bronze",NA,NA,"1500 metres","Stephen Kipkorir","Kenya","Atlanta","USA"
"1089",1996,"Bronze",NA,NA,"5000 metres","Khalid Boulami","Morocco","Atlanta","USA"
"1090",1996,"Bronze",NA,NA,"10,000 metres","Salah Hissou","Morocco","Atlanta","USA"
"1091",1996,"Bronze",13.17,NA,"110 metres hurdles","Florian Schwarthoff","Germany","Atlanta","USA"
"1092",1996,"Bronze",47.96,NA,"400 metres hurdles","Calvin Davis","United States","Atlanta","USA"
"1093",1996,"Bronze",NA,NA,"3000 metres steeplechase","Alessandro Lambruschini","Italy","Atlanta","USA"
"1094",1996,"Bronze",38.41,NA,"4×100 metres relay","Brazil (BRA)Arnaldo","da SilvaRobson da SilvaÉdson RibeiroAndré da Silva","Atlanta","USA"
"1095",1996,"Bronze",NA,NA,"4×400 metres relay","Jamaica (JAM)Michael","McDonaldGreg HaughtonRoxbert MartinDavian ClarkeDennis Blake*Garth Robinson*","Atlanta","USA"
"1096",1996,"Bronze",NA,NA,"Marathon","Erick Wainaina","Kenya","Atlanta","USA"
"1097",1996,"Bronze",NA,NA,"20 kilometres walk","Bernardo Segura","Mexico","Atlanta","USA"
"1098",1996,"Bronze",NA,NA,"50 kilometres walk","Valentí Massana","Spain","Atlanta","USA"
"1099",1996,"Bronze",2.35,NA,"High jump","Steve Smith","Great Britain","Atlanta","USA"
"1100",1996,"Bronze",5.92,NA,"Pole vault","Andrei Tivontchik","Germany","Atlanta","USA"
"1101",1996,"Bronze",8.24,NA,"Long jump","Joe Greene","United States","Atlanta","USA"
"1102",1996,"Bronze",17.44,NA,"Triple jump","Yoelbi Quesada","Cuba","Atlanta","USA"
"1103",1996,"Bronze",20.75,NA,"Shot put","Oleksandr Bagach","Ukraine","Atlanta","USA"
"1104",1996,"Bronze",65.8,NA,"Discus throw","Vasiliy Kaptyukh","Belarus","Atlanta","USA"
"1105",1996,"Bronze",80.02,NA,"Hammer throw","Oleksandr Krykun","Ukraine","Atlanta","USA"
"1106",1996,"Bronze",86.98,NA,"Javelin throw","Seppo Räty","Finland","Atlanta","USA"
"1107",1996,"Bronze",8664,NA,"Decathlon","Tomáš Dvořák","Czech Republic","Atlanta","USA"
"1108",1992,"Bronze",10.04,NA,"100 metres","Dennis Mitchell","United States","Barcelona","Spain"
"1109",1992,"Bronze",20.38,NA,"200 metres","Michael Bates","United States","Barcelona","Spain"
"1110",1992,"Bronze",44.24,NA,"400 metres","Samson Kitur","Kenya","Barcelona","Spain"
"1111",1992,"Bronze",NA,NA,"800 metres","Johnny Gray","United States","Barcelona","Spain"
"1112",1992,"Bronze",NA,NA,"1500 metres","Mohamed Suleiman","Qatar","Barcelona","Spain"
"1113",1992,"Bronze",NA,NA,"5000 metres","Fita Bayisa","Ethiopia","Barcelona","Spain"
"1114",1992,"Bronze",NA,NA,"10,000 metres","Addis Abebe","Ethiopia","Barcelona","Spain"
"1115",1992,"Bronze",13.26,NA,"110 metres hurdles","Jack Pierce","United States","Barcelona","Spain"
"1116",1992,"Bronze",47.82,NA,"400 metres hurdles","Kriss Akabusi","Great Britain","Barcelona","Spain"
"1117",1992,"Bronze",NA,NA,"3000 metres steeplechase","William Mutwol","Kenya","Barcelona","Spain"
"1118",1992,"Bronze",38,NA,"4×100 metres relay","Cuba (CUB)Andrés","SimónJoel LamelaJoel IsasiJorge Aguilera","Barcelona","Spain"
"1119",1992,"Bronze",NA,NA,"4×400 metres relay","Great Britain","(GBR)Roger BlackDavid GrindleyKriss AkabusiJohn RegisDu'aine Ladejo*Mark Richardson*","Barcelona","Spain"
"1120",1992,"Bronze",NA,NA,"Marathon","Stephan Freigang","Germany","Barcelona","Spain"
"1121",1992,"Bronze",NA,NA,"20 kilometres walk","Giovanni De","Benedictis Italy","Barcelona","Spain"
"1122",1992,"Bronze",NA,NA,"50 kilometres walk","Ronald Weigel","Germany","Barcelona","Spain"
"1123",1992,"Bronze",NA,NA,"High jump","Hollis Conway","United States","Barcelona","Spain"
"1124",1992,"Bronze",NA,NA,"High jump","Tim Forsyth","Australia","Barcelona","Spain"
"1125",1992,"Bronze",NA,NA,"High jump","Artur Partyka","Poland","Barcelona","Spain"
"1126",1992,"Bronze",NA,NA,"Pole vault","Javier García","Spain","Barcelona","Spain"
"1127",1992,"Bronze",NA,NA,"Long jump","Joe Greene","United States","Barcelona","Spain"
"1128",1992,"Bronze",NA,NA,"Triple jump","Frank Rutherford","Bahamas","Barcelona","Spain"
"1129",1992,"Bronze",NA,NA,"Shot put","Vyacheslav Lykho","Unified Team( Russia)","Barcelona","Spain"
"1130",1992,"Bronze",NA,NA,"Discus throw","Roberto Moya","Cuba","Barcelona","Spain"
"1131",1992,"Bronze",NA,NA,"Hammer throw","Igor Nikulin","Unified Team( Russia)","Barcelona","Spain"
"1132",1992,"Bronze",NA,NA,"Javelin throw","Steve Backley","Great Britain","Barcelona","Spain"
"1133",1992,"Bronze",8309,NA,"Decathlon","Dave Johnson","United States","Barcelona","Spain"
"1134",1988,"Bronze",9.99,NA,"100 metres","Calvin Smith","United States","Seoul","South Korea"
"1135",1988,"Bronze",20.04,NA,"200 metres","Robson da","Silva Brazil","Seoul","South Korea"
"1136",1988,"Bronze",44.09,NA,"400 metres","Danny Everett","United States","Seoul","South Korea"
"1137",1988,"Bronze",NA,NA,"800 metres","Saïd Aouita","Morocco","Seoul","South Korea"
"1138",1988,"Bronze",NA,NA,"1500 metres","Jens-Peter Herold","East Germany","Seoul","South Korea"
"1139",1988,"Bronze",NA,NA,"5000 metres","Hansjörg Kunze","East Germany","Seoul","South Korea"
"1140",1988,"Bronze",NA,NA,"10,000 metres","Kipkemboy Kimeli","Kenya","Seoul","South Korea"
"1141",1988,"Bronze",13.38,NA,"110 metres hurdles","Tonie Campbell","United States","Seoul","South Korea"
"1142",1988,"Bronze",47.56,NA,"400 metres hurdles","Edwin Moses","United States","Seoul","South Korea"
"1143",1988,"Bronze",NA,NA,"3000 metres steeplechase","Mark Rowland","Great Britain","Seoul","South Korea"
"1144",1988,"Bronze",38.4,NA,"4×100 metres relay","France (FRA)Bruno","Marie-RoseDaniel SangoumaGilles QuenehervéMax Morinière","Seoul","South Korea"
"1145",1988,"Bronze",NA,NA,"4×400 metres relay","West Germany","(FRG)Norbert DobeleitEdgar IttJörg VaihingerRalf LübkeMark Henrich*Bodo Kuhn*","Seoul","South Korea"
"1146",1988,"Bronze",NA,NA,"Marathon","Hussein Ahmed","Salah Djibouti","Seoul","South Korea"
